user_id,name,total_income,total_expense,total_investment,current_investment_value,total_target_amount,current_savings,total_budget,net_savings,savings_rate,investment_rate,budget_utilization,investment_profit,goal_completion
19,Logan Behl,1025001.0,533028.0,1007289.0,1113281.6600000001,5024261.0,2387932.0,216816.0,491973.0,48.0,98.27,245.84,105992.66000000015,47.53
20,Henry Borah,2964750.0,1418547.0,1003514.0,1163953.9,269713.0,47500.0,94425.0,1546203.0,52.15,33.85,1502.3,160439.8999999999,17.61
21,Ojasvi Vaidya,2335546.0,1755239.0,267502.0,311935.79000000004,991302.0,820515.0,229200.0,580307.0,24.85,11.45,765.81,44433.79000000004,82.77
22,Odika Mody,2106726.0,823729.0,659455.0,887510.96,2030712.0,646867.0,106134.0,1282997.0,60.9,31.3,776.12,228055.95999999996,31.85
23,Nimrat Chada,1062721.0,468485.0,997667.0,1384054.44,1673061.0,1341303.0,61794.0,594236.0,55.92,93.88,758.14,386387.43999999994,80.17
24,Divya Bahl,540379.0,400165.0,1194964.0,1309759.7,0.0,0.0,118503.0,140214.0,25.95,221.13,337.68,114795.69999999995,0.0
25,Tripti Pandey,2409022.0,1334690.0,1321376.0,1630909.5,2812958.0,862938.0,165518.0,1074332.0,44.6,54.85,806.37,309533.5,30.68
26,Tanish Gupta,2040557.0,977233.0,868904.0,1045800.73,1554091.0,767365.0,273757.0,1063324.0,52.11,42.58,356.97,176896.72999999998,49.38
27,Eta Biswas,1713379.0,1092248.0,755735.0,1010555.0,2422091.0,1468574.0,72174.0,621131.0,36.25,44.11,1513.35,254820.0,60.63
28,Naksh Badal,1958297.0,972778.0,539347.0,700018.58,4052991.0,2450183.0,228964.0,985519.0,50.33,27.54,424.86,160671.57999999996,60.45
29,Indira Keer,1713924.0,1012942.0,2884770.0,3077147.91,793549.0,101447.0,237368.0,700982.0,40.9,168.31,426.74,192377.91000000015,12.78
30,Warda Oommen,1295048.0,472707.0,1019297.0,975768.62,106523.0,42031.0,152952.0,822341.0,63.5,78.71,309.06,-43528.380000000005,39.46
31,Eiravati Palla,2990251.0,1619113.0,452875.0,434311.06999999995,1522622.0,402077.0,11080.0,1371138.0,45.85,15.15,14612.93,-18563.93000000005,26.41
32,Bahadurjit Mander,2186781.0,1665783.0,733237.0,635056.3200000001,1007161.0,681216.0,211144.0,520998.0,23.82,33.53,788.93,-98180.67999999993,67.64
33,Aditya Sharaf,1628824.0,540705.0,157124.0,199400.51,820332.0,569840.0,94032.0,1088119.0,66.8,9.65,575.02,42276.51000000001,69.46
34,Vanya Bose,951063.0,511659.0,116474.0,112562.43,2021612.0,330111.0,223021.0,439404.0,46.2,12.25,229.42,-3911.570000000007,16.33
35,Bhavini Ahluwalia,2428163.0,1727691.0,1815932.0,2512369.38,2721591.0,1485854.0,215933.0,700472.0,28.85,74.79,800.11,696437.3799999999,54.6
36,Dominic Nagar,689395.0,401019.0,1126454.0,1468297.74,0.0,0.0,112160.0,288376.0,41.83,163.4,357.54,341843.74,0.0
37,Aryan Nath,383329.0,574873.0,1074219.0,1312462.8199999998,412188.0,70271.0,249018.0,-191544.0,-49.97,280.23,230.86,238243.81999999983,17.05
38,Vamakshi Sahota,1333388.0,483318.0,1103238.0,1202253.62,1417951.0,1041121.0,15761.0,850070.0,63.75,82.74,3066.54,99015.62000000011,73.42
39,Tamanna Nadig,3358864.0,1545636.0,938785.0,1270754.91,1494987.0,345240.0,97887.0,1813228.0,53.98,27.95,1579.0,331969.9099999999,23.09
40,Hemal Behl,3312329.0,1327140.0,774467.0,988512.4400000001,868648.0,658991.0,123645.0,1985189.0,59.93,23.38,1073.35,214045.44000000006,75.86
41,Yadavi Krishnan,2057094.0,904153.0,664579.0,923689.56,886153.0,535942.0,298864.0,1152941.0,56.05,32.31,302.53,259110.56000000006,60.48
42,Upadhriti Saini,895276.0,459929.0,410813.0,637523.74,2466863.0,1140248.0,122405.0,435347.0,48.63,45.89,375.74,226710.74,46.22
43,Sanaya Varty,777420.0,506161.0,1024329.0,1252473.3,668529.0,514368.0,41345.0,271259.0,34.89,131.76,1224.24,228144.30000000005,76.94
44,Jason Yogi,1146814.0,825211.0,216234.0,307902.9,1789990.0,945299.0,134492.0,321603.0,28.04,18.86,613.58,91668.90000000002,52.81
45,Azaan Sachar,626609.0,582644.0,164033.0,206141.19,390241.0,330309.0,80448.0,43965.0,7.02,26.18,724.25,42108.19,84.64
46,Jagrati Samra,2341263.0,1312929.0,1979105.0,2199994.16,1947405.0,1106239.0,57276.0,1028334.0,43.92,84.53,2292.28,220889.16000000015,56.81
47,Dhruv Varkey,3649810.0,1656354.0,964804.0,1177481.93,335271.0,139999.0,87353.0,1993456.0,54.62,26.43,1896.16,212677.92999999993,41.76
48,Ansh Saraf,2491590.0,1170476.0,1144587.0,1194261.03,511582.0,217498.0,195991.0,1321114.0,53.02,45.94,597.21,49674.03000000003,42.51
49,Akshay Madan,4233497.0,1420857.0,737298.0,876974.13,658901.0,363290.0,55472.0,2812640.0,66.44,17.42,2561.39,139676.13,55.14
50,Hemal Narang,3403490.0,1552805.0,951797.0,1458718.6199999999,1739697.0,1216415.0,83016.0,1850685.0,54.38,27.97,1870.49,506921.6199999999,69.92
51,Yachana Raval,1526540.0,1058676.0,171430.0,186078.92,1016944.0,800592.0,44495.0,467864.0,30.65,11.23,2379.31,14648.920000000013,78.73
52,Elijah Mander,2440361.0,1137981.0,859758.0,949400.1,1659076.0,782014.0,120009.0,1302380.0,53.37,35.23,948.25,89642.09999999998,47.14
53,Xiti Reddy,3119650.0,1716301.0,352909.0,303543.92,724134.0,255860.0,160285.0,1403349.0,44.98,11.31,1070.78,-49365.080000000016,35.33
54,Chanchal Dave,1809353.0,1426614.0,1610355.0,1963397.25,2974185.0,1348705.0,87121.0,382739.0,21.15,89.0,1637.51,353042.25,45.35
55,Ekta Deol,2381125.0,1034866.0,0.0,0.0,1733487.0,961996.0,83064.0,1346259.0,56.54,0.0,1245.87,0.0,55.49
56,Nisha Atwal,2615256.0,1693672.0,494838.0,523342.88,919515.0,586984.0,82646.0,921584.0,35.24,18.92,2049.31,28504.880000000005,63.84
57,Varenya Kara,1050748.0,398657.0,838938.0,750146.5700000001,2084499.0,1250387.0,136678.0,652091.0,62.06,79.84,291.68,-88791.42999999993,59.99
58,Amol Raghavan,1470499.0,509910.0,1779288.0,1881471.82,1363739.0,537497.0,117854.0,960589.0,65.32,121.0,432.66,102183.82000000007,39.41
59,Yutika Uppal,2594999.0,949015.0,750507.0,821166.9199999999,2424579.0,1410765.0,136697.0,1645984.0,63.43,28.92,694.25,70659.91999999993,58.19
60,William Sidhu,817515.0,553946.0,1125057.0,1210472.87,2235443.0,1138255.0,83317.0,263569.0,32.24,137.62,664.87,85415.87000000011,50.92
61,Rajeshri Bhatia,2521352.0,938265.0,1777545.0,2295771.81,2033002.0,675548.0,96334.0,1583087.0,62.79,70.5,973.97,518226.81000000006,33.23
62,Luke Sarin,3718043.0,1772169.0,696682.0,707397.86,1759994.0,814480.0,86056.0,1945874.0,52.34,18.74,2059.32,10715.859999999986,46.28
63,Ekanta Chowdhury,2778707.0,1264714.0,1413625.0,1847064.71,1635707.0,871640.0,184537.0,1513993.0,54.49,50.87,685.34,433439.70999999996,53.29
64,Zayan Lad,849226.0,633771.0,68189.0,106164.3,1801001.0,1262967.0,143299.0,215455.0,25.37,8.03,442.27,37975.3,70.13
65,Orinder Manda,2948225.0,1479237.0,827861.0,966351.4199999999,2768604.0,1843276.0,203500.0,1468988.0,49.83,28.08,726.9,138490.41999999993,66.58
66,Yatan Sankar,3029027.0,1730242.0,884440.0,966005.79,3813513.0,1604493.0,83785.0,1298785.0,42.88,29.2,2065.1,81565.79000000004,42.07
67,Samarth Pal,3075281.0,1706292.0,684952.0,799384.45,1550232.0,1475492.0,131045.0,1368989.0,44.52,22.27,1302.07,114432.44999999995,95.18
68,Reva Kapadia,4373521.0,1401882.0,1171488.0,1327836.53,1535829.0,184058.0,137914.0,2971639.0,67.95,26.79,1016.49,156348.53000000003,11.98
69,Caleb Borra,1225534.0,335295.0,428296.0,519012.37,2672039.0,926865.0,83597.0,890239.0,72.64,34.95,401.08,90716.37,34.69
70,Unni Sheth,1868452.0,514602.0,1838785.0,2356488.56,3302161.0,2104350.0,188067.0,1353850.0,72.46,98.41,273.63,517703.56000000006,63.73
71,Faris Vaidya,1409273.0,1012889.0,822967.0,865511.1799999999,2092943.0,1035033.0,103362.0,396384.0,28.13,58.4,979.94,42544.179999999935,49.45
72,Chanchal Rout,3969132.0,1520928.0,1722259.0,2098534.12,2152523.0,675844.0,159668.0,2448204.0,61.68,43.39,952.56,376275.1200000001,31.4
73,Jai Baral,1590811.0,818267.0,2011807.0,2284027.99,61315.0,51375.0,181375.0,772544.0,48.56,126.46,451.15,272220.9900000002,83.79
74,Abeer Jha,725613.0,506911.0,2231634.0,2736557.53,2728232.0,1389738.0,182582.0,218702.0,30.14,307.55,277.63,504923.5299999998,50.94
75,Xalak Patla,3643563.0,1353859.0,663689.0,848119.39,2339286.0,609374.0,111442.0,2289704.0,62.84,18.22,1214.86,184430.39,26.05
76,Meera Nayak,857725.0,589464.0,392480.0,368307.8,1491098.0,963674.0,184895.0,268261.0,31.28,45.76,318.81,-24172.20000000001,64.63
77,Ayushman Rout,2652137.0,1545177.0,693503.0,772939.86,3180918.0,1783903.0,170504.0,1106960.0,41.74,26.15,906.24,79436.85999999999,56.08
78,Robert Mutti,2627853.0,1730483.0,1492750.0,1681119.87,237507.0,64397.0,159527.0,897370.0,34.15,56.8,1084.76,188369.8700000001,27.11
79,Daniel Loke,1940839.0,971509.0,1072005.0,1284312.48,1885771.0,1183786.0,55951.0,969330.0,49.94,55.23,1736.36,212307.47999999998,62.77
80,Rachit Dass,2029307.0,1412293.0,271947.0,353666.91000000003,4507019.0,2855538.0,88624.0,617014.0,30.41,13.4,1593.58,81719.91000000003,63.36
81,Omya Golla,3799330.0,1491270.0,705680.0,1015465.1300000001,2018313.0,831011.0,99654.0,2308060.0,60.75,18.57,1496.45,309785.1300000001,41.17
82,Yug Joshi,2103814.0,1321562.0,2225302.0,2708495.9,659836.0,513495.0,196878.0,782252.0,37.18,105.77,671.26,483193.8999999999,77.82
83,Yashawini Natt,3010715.0,1384095.0,584238.0,746611.56,2841455.0,1234755.0,79673.0,1626620.0,54.03,19.41,1737.22,162373.56000000006,43.46
84,Chavvi Nazareth,1776769.0,1606373.0,534933.0,651166.9199999999,2372465.0,1284196.0,148503.0,170396.0,9.59,30.11,1081.71,116233.91999999993,54.13
85,Osha Dave,1522710.0,1071698.0,1237979.0,1333224.4400000002,1762438.0,536529.0,241289.0,451012.0,29.62,81.3,444.16,95245.44000000018,30.44
86,Abeer Sarma,1301472.0,391445.0,1249018.0,1573192.42,992625.0,524357.0,32301.0,910027.0,69.92,95.97,1211.87,324174.4199999999,52.83
87,Qushi Mann,1040995.0,551521.0,1268592.0,1530067.47,1227055.0,884519.0,239842.0,489474.0,47.02,121.86,229.95,261475.46999999997,72.08
88,Henry Khare,2451075.0,997548.0,382780.0,446272.66,58226.0,29042.0,111925.0,1453527.0,59.3,15.62,891.26,63492.659999999974,49.88
89,Lucky Gade,1989216.0,1033845.0,1243773.0,1283463.12,931813.0,166974.0,52159.0,955371.0,48.03,62.53,1982.1,39690.12000000011,17.92
90,Gaurang Aggarwal,1042896.0,417622.0,1148879.0,1217321.44,1013267.0,499157.0,121671.0,625274.0,59.96,110.16,343.24,68442.43999999994,49.26
91,Tristan Kapadia,2236855.0,1092708.0,2393033.0,2560640.25,1443379.0,482531.0,94201.0,1144147.0,51.15,106.98,1159.97,167607.25,33.43
92,Daniel Bala,2162426.0,1254819.0,447237.0,584042.89,953572.0,816690.0,118748.0,907607.0,41.97,20.68,1056.71,136805.89,85.65
93,Ekanta Ganesan,952590.0,901999.0,1007619.0,1044199.21,1832879.0,319467.0,189806.0,50591.0,5.31,105.78,475.22,36580.20999999996,17.43
94,Darika Vohra,1722911.0,978286.0,526002.0,610119.37,1038478.0,471995.0,62593.0,744625.0,43.22,30.53,1562.93,84117.37,45.45
95,Hema Bhagat,696764.0,615821.0,1542304.0,2051453.31,640606.0,298087.0,225854.0,80943.0,11.62,221.35,272.66,509149.31000000006,46.53
96,Qabil Wason,3633052.0,1500349.0,1533585.0,1802155.71,0.0,0.0,142653.0,2132703.0,58.7,42.21,1051.75,268570.70999999996,0.0
97,Naveen Aurora,3167977.0,1399148.0,564625.0,529895.5700000001,2003455.0,1204213.0,197012.0,1768829.0,55.83,17.82,710.18,-34729.429999999935,60.11
98,Devika Soman,3322530.0,1290802.0,661663.0,601443.85,336784.0,129819.0,164544.0,2031728.0,61.15,19.91,784.47,-60219.15000000002,38.55
99,Zaid Kuruvilla,1504476.0,912290.0,1386857.0,1738354.0899999999,3199772.0,1473830.0,44789.0,592186.0,39.36,92.18,2036.86,351497.08999999985,46.06
100,Christopher Ganguly,3071875.0,1261946.0,1030922.0,1019641.76,3197455.0,2218210.0,120427.0,1809929.0,58.92,33.56,1047.89,-11280.23999999999,69.37
101,Atharv Gupta,2350428.0,1114002.0,569791.0,597083.65,843768.0,775161.0,100696.0,1236426.0,52.6,24.24,1106.3,27292.650000000023,91.87
102,Tejas Desai,2036033.0,957663.0,286710.0,252332.23,821878.0,492196.0,293499.0,1078370.0,52.96,14.08,326.29,-34377.76999999999,59.89
103,Christopher Banerjee,1818294.0,951907.0,939731.0,1123315.57,3354557.0,2395713.0,163652.0,866387.0,47.65,51.68,581.67,183584.57000000007,71.42
104,Wakeeta Saraf,2903074.0,1390390.0,947386.0,1109406.08,1475834.0,1059783.0,67536.0,1512684.0,52.11,32.63,2058.74,162020.08000000007,71.81
105,Sathvik Rama,1791125.0,902752.0,2391255.0,3337019.8200000003,81051.0,48447.0,176729.0,888373.0,49.6,133.51,510.81,945764.8200000003,59.77
106,Vamakshi Nayak,1376143.0,452758.0,457818.0,373081.79,1297756.0,881468.0,181643.0,923385.0,67.1,33.27,249.26,-84736.21000000002,67.92
107,Lila Barad,3133537.0,1628701.0,1536056.0,1610336.18,2116290.0,2031318.0,242911.0,1504836.0,48.02,49.02,670.49,74280.17999999993,95.98
108,Naksh Khosla,2192345.0,991893.0,1095455.0,1294598.56,785625.0,150037.0,226844.0,1200452.0,54.76,49.97,437.26,199143.56000000006,19.1
109,Elijah Munshi,1761124.0,1103063.0,0.0,0.0,1336632.0,564919.0,214867.0,658061.0,37.37,0.0,513.37,0.0,42.26
110,Anvi Ahluwalia,3004977.0,1620724.0,713680.0,1068611.8,929384.0,564411.0,191750.0,1384253.0,46.07,23.75,845.23,354931.80000000005,60.73
111,Hitesh Pradhan,2484466.0,1088528.0,1125317.0,1254146.5799999998,901956.0,443675.0,31591.0,1395938.0,56.19,45.29,3445.69,128829.57999999984,49.19
112,Devansh Nair,1222937.0,523230.0,717843.0,854917.27,177997.0,35061.0,270439.0,699707.0,57.22,58.7,193.47,137074.27000000002,19.7
113,Lekha Anne,838508.0,688346.0,1852075.0,2395818.73,194416.0,165949.0,137690.0,150162.0,17.91,220.88,499.92,543743.73,85.36
114,Geetika Sridhar,4320473.0,1386284.0,579416.0,916928.99,0.0,0.0,177933.0,2934189.0,67.91,13.41,779.1,337512.99,0.0
115,Janaki Puri,825874.0,511625.0,628812.0,867028.64,651291.0,151166.0,87875.0,314249.0,38.05,76.14,582.22,238216.64,23.21
116,Falan Srinivasan,1127479.0,457882.0,787870.0,892601.4299999999,2984335.0,1579475.0,359475.0,669597.0,59.39,69.88,127.38,104731.42999999993,52.93
117,Hritik Bhandari,2659325.0,2102044.0,1771352.0,2266561.98,838853.0,654424.0,151971.0,557281.0,20.96,66.61,1383.19,495209.98,78.01
118,Ethan Master,2747106.0,958340.0,623506.0,824776.36,746804.0,669727.0,87396.0,1788766.0,65.11,22.7,1096.55,201270.36,89.68
119,Bhavika Narasimhan,1436756.0,1067896.0,862105.0,989625.78,714333.0,113110.0,68923.0,368860.0,25.67,60.0,1549.4,127520.78000000003,15.83
120,Shravya Khalsa,2152654.0,1454182.0,1473214.0,1739340.9300000002,1975949.0,903551.0,23056.0,698472.0,32.45,68.44,6307.17,266126.93000000017,45.73
121,Wriddhish Goel,1361962.0,322415.0,818126.0,836178.63,1957549.0,794599.0,129218.0,1039547.0,76.33,60.07,249.51,18052.630000000005,40.59
122,Ranveer Sanghvi,1565386.0,1051416.0,863113.0,1250959.35,569449.0,306739.0,184143.0,513970.0,32.83,55.14,570.98,387846.3500000001,53.87
123,Sai Setty,2965061.0,1013852.0,1163784.0,1400701.58,1455845.0,675541.0,244765.0,1951209.0,65.81,39.25,414.21,236917.58000000007,46.4
124,Baghyawati Sandhu,2355469.0,1506738.0,279157.0,311223.29,0.0,0.0,85995.0,848731.0,36.03,11.85,1752.12,32066.28999999998,0.0
125,Imaran Buch,1220319.0,614403.0,1249737.0,1390424.27,2146202.0,837768.0,122537.0,605916.0,49.65,102.41,501.4,140687.27000000002,39.03
126,Chakradev Wadhwa,1047510.0,389789.0,691647.0,723923.15,380348.0,156060.0,185790.0,657721.0,62.79,66.03,209.8,32276.150000000023,41.03
127,Yahvi Raman,1761207.0,1093782.0,1146812.0,1235691.47,1278110.0,534882.0,130050.0,667425.0,37.9,65.12,841.05,88879.46999999997,41.85
128,Ethan Bhandari,965761.0,497611.0,942030.0,1312952.07,0.0,0.0,26827.0,468150.0,48.47,97.54,1854.89,370922.07000000007,0.0
129,Eta Sekhon,1280394.0,1126011.0,809939.0,946431.76,1037929.0,680433.0,137961.0,154383.0,12.06,63.26,816.18,136492.76,65.56
130,Balhaar Hayre,1310383.0,549975.0,160302.0,153904.71,4456227.0,3196528.0,229626.0,760408.0,58.03,12.23,239.51,-6397.290000000008,71.73
131,Oscar Sule,1432390.0,464848.0,1472701.0,1740562.72,2390820.0,2117155.0,87051.0,967542.0,67.55,102.81,534.0,267861.72,88.55
132,Faraj Sha,2286148.0,1375584.0,1470197.0,1824718.45,535615.0,74364.0,60406.0,910564.0,39.83,64.31,2277.23,354521.44999999995,13.88
133,Rajata Khurana,835367.0,464853.0,92100.0,146289.06,1047083.0,563428.0,149532.0,370514.0,44.35,11.03,310.87,54189.06,53.81
134,Harrison Tak,1050273.0,638267.0,2200361.0,2350751.07,771403.0,361811.0,109638.0,412006.0,39.23,209.5,582.16,150390.06999999983,46.9
135,Nathan Gaba,1694395.0,1256782.0,689747.0,950968.59,1083436.0,625176.0,83775.0,437613.0,25.83,40.71,1500.19,261221.58999999997,57.7
136,Yagnesh Chowdhury,1890771.0,1146280.0,494582.0,570431.27,865702.0,666526.0,97853.0,744491.0,39.37,26.16,1171.43,75849.27000000002,76.99
137,Isaac Kamdar,929779.0,643076.0,784462.0,960677.4,1290860.0,827727.0,210743.0,286703.0,30.84,84.37,305.15,176215.40000000002,64.12
138,Tanay Savant,2011672.0,844620.0,786160.0,1133389.7000000002,1434813.0,546834.0,133009.0,1167052.0,58.01,39.08,635.01,347229.7000000002,38.11
139,Gavin Raghavan,638858.0,489007.0,1867125.0,2514809.87,1323839.0,929874.0,238361.0,149851.0,23.46,292.26,205.15,647684.8700000001,70.24
140,Lakshit Varghese,3229458.0,1534933.0,1630156.0,1928906.82,2107168.0,565313.0,254780.0,1694525.0,52.47,50.48,602.45,298750.82000000007,26.83
141,Falan Prakash,2839490.0,1499295.0,1128920.0,1418118.1300000001,2183968.0,1174141.0,146247.0,1340195.0,47.2,39.76,1025.18,289198.1300000001,53.76
142,Warinder Nazareth,1251662.0,861689.0,1784491.0,2431473.0100000002,1575567.0,460443.0,99212.0,389973.0,31.16,142.57,868.53,646982.0100000002,29.22
143,Victor Zacharia,4471081.0,1386571.0,1134704.0,1372402.05,239003.0,84762.0,135240.0,3084510.0,68.99,25.38,1025.27,237698.05000000005,35.46
144,Damyanti Patil,2990219.0,1568660.0,963693.0,1203876.38,1968876.0,448864.0,110548.0,1421559.0,47.54,32.23,1418.99,240183.3799999999,22.8
145,Andrew Raju,3347334.0,1596722.0,1204760.0,1332610.5,365803.0,52536.0,137168.0,1750612.0,52.3,35.99,1164.06,127850.5,14.36
146,Christopher Kothari,3169934.0,1395726.0,1021372.0,1236867.43,1358308.0,779925.0,269418.0,1774208.0,55.97,32.22,518.05,215495.42999999993,57.42
147,Chaaya Cherian,1764904.0,1363524.0,1378492.0,1677300.0999999999,4047393.0,2135037.0,90561.0,401380.0,22.74,78.11,1505.64,298808.09999999986,52.75
148,Samesh Narasimhan,2259779.0,1706393.0,1285247.0,1464271.9,1710510.0,1166420.0,149576.0,553386.0,24.49,56.87,1140.82,179024.8999999999,68.19
149,Omya Rai,1232996.0,616239.0,1643484.0,1998610.7,2495737.0,1189810.0,156909.0,616757.0,50.02,133.29,392.74,355126.69999999995,47.67
150,Mason Toor,1015855.0,959040.0,1772020.0,2188423.34,2323976.0,599095.0,136691.0,56815.0,5.59,174.44,701.61,416403.33999999985,25.78
151,Teerth Patil,2919709.0,1228464.0,1014913.0,1358886.3,1824449.0,688930.0,139173.0,1691245.0,57.93,34.76,882.69,343973.30000000005,37.76
152,Ati Sahota,3403823.0,1351835.0,1794371.0,1972552.5,1507948.0,803720.0,89197.0,2051988.0,60.28,52.72,1515.56,178181.5,53.3
153,Ekbal Krishna,2412550.0,1680000.0,444701.0,688160.63,2304433.0,1417455.0,308940.0,732550.0,30.36,18.43,543.79,243459.63,61.51
154,Naveen Karpe,2931811.0,1588634.0,0.0,0.0,690127.0,379905.0,144507.0,1343177.0,45.81,0.0,1099.35,0.0,55.05
155,Bina Garde,1153659.0,560256.0,1149390.0,1202284.3599999999,1177930.0,971340.0,124883.0,593403.0,51.44,99.63,448.62,52894.35999999987,82.46
156,Krishna Pal,2992640.0,1567737.0,1592760.0,1757602.19,985583.0,409430.0,157504.0,1424903.0,47.61,53.22,995.36,164842.18999999994,41.54
157,Madhavi Varma,2586027.0,1006742.0,427709.0,554545.0,1637325.0,954346.0,179705.0,1579285.0,61.07,16.54,560.22,126836.0,58.29
158,Chameli Rege,3079230.0,1494947.0,2102031.0,2561036.23,936040.0,686205.0,125308.0,1584283.0,51.45,68.26,1193.02,459005.23,73.31
159,Priya Sem,1933034.0,1787993.0,1222403.0,1483889.73,1905707.0,1053799.0,297424.0,145041.0,7.5,63.24,601.16,261486.72999999998,55.3
160,George Lall,1707373.0,1112437.0,518208.0,533646.46,2848451.0,1252367.0,98536.0,594936.0,34.85,30.35,1128.97,15438.459999999963,43.97
161,Ekbal Sathe,1025831.0,434881.0,2252797.0,2698981.71,2734710.0,1501790.0,157742.0,590950.0,57.61,219.61,275.69,446184.70999999996,54.92
162,Jyoti Chopra,1031031.0,776940.0,1713248.0,2276296.5700000003,378171.0,64949.0,139724.0,254091.0,24.64,166.17,556.05,563048.5700000003,17.17
163,Aadhya Keer,2197542.0,1507199.0,617914.0,574441.4400000001,820746.0,427959.0,15911.0,690343.0,31.41,28.12,9472.69,-43472.55999999994,52.14
164,Mugdha Bali,3466874.0,1657151.0,1281869.0,1608449.1400000001,2326349.0,1148310.0,183783.0,1809723.0,52.2,36.97,901.69,326580.14000000013,49.36
165,Udant Date,2705546.0,1045216.0,1897013.0,1893832.7,324281.0,315079.0,102171.0,1660330.0,61.37,70.12,1023.01,-3180.3000000000466,97.16
166,Rudra Bal,3122745.0,1430031.0,1120583.0,1428621.48,2264377.0,1208179.0,18863.0,1692714.0,54.21,35.88,7581.14,308038.48,53.36
167,Ranveer Bhagat,1175912.0,520201.0,1594886.0,1682205.47,2680384.0,1191919.0,258436.0,655711.0,55.76,135.63,201.29,87319.46999999997,44.47
168,Laksh Mohan,1622838.0,803138.0,434567.0,531168.45,710706.0,313383.0,161589.0,819700.0,50.51,26.78,497.03,96601.44999999995,44.09
169,Unnati Bhandari,3308266.0,1522104.0,346291.0,295219.27,1169751.0,443045.0,75937.0,1786162.0,53.99,10.47,2004.43,-51071.72999999998,37.88
170,Karan Anne,1180243.0,768889.0,618549.0,792905.3,2339523.0,1087265.0,92560.0,411354.0,34.85,52.41,830.69,174356.30000000005,46.47
171,Bhavya Raghavan,617102.0,539392.0,1145659.0,1170693.48,3363099.0,2007082.0,105062.0,77710.0,12.59,185.65,513.4,25034.47999999998,59.68
172,Gauri Kara,520597.0,309980.0,446376.0,391657.24,1960558.0,1023074.0,21157.0,210617.0,40.46,85.74,1465.14,-54718.76000000001,52.18
173,Ucchal Minhas,2291210.0,991165.0,1383081.0,1588458.73,870294.0,60402.0,164448.0,1300045.0,56.74,60.36,602.72,205377.72999999998,6.94
174,Hitesh Date,1139501.0,488758.0,528728.0,561479.88,1797898.0,979031.0,96378.0,650743.0,57.11,46.4,507.13,32751.880000000005,54.45
